scorelist,
484008,
429838,
414900,
330902,
258593,
233231,
213824,
206060,
195383,
187999,
187395,
174305,
163367,
145225,
139472,
138253,
135396,
135292,
124605,
123375,
121508,
112483,
106020,
103989,
103493,
101577,
99274,
99208,
98904,
98213,
96121,
93390,
87927,
86609,
83239,
73662,
72895,
71114,
70967,
70252,
69129,
68605,
68593,
68379,
66477,
66449,
66014,
59679,
58359,
57937,
56898,
53396,
53359,
52906,
52871,
52470,
51018,
50826,
50129,
49016,
46529,
46283,
43865,
43431,
42527,
42398,
40457,
39707,
39120,
38881,
38557,
37956,
37616,
36730,
36535,
34846,
34716,
33089,
32821,
32755,
31243,
30772,
30755,
28613,
27708,
27675,
27195,
26001,
25843,
24173,
23699,
23344,
23238,
21983,
21625,
21051,
19980,
19871,
19864,
19446,
17335,
16911,
16806,
16796,
16633,
16117,
15976,
14942,
13709,
13189,
11730,
11630,
11595,
11150,
10997,
10844,
10584,
10505,
8460,
7516,
7105,
27978,
